discipline_ids,id,land_id,navn,navn_en,oa_doaj,oa_doaj_dato,oa_romeo,oa_romeo_dato,oecd_id,spraak_spraak_id,tidsskriftISSNE,tidsskriftISSNP,url,utgiver,npi_fagfelt_org_id,forlag_navn,forlag_navn_en,nedlagt,issn_cdrom
,509816,100455,Medična osvìta,Medical Education,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1405,2414-5998,1681-2751,https://ojs.tdmu.edu.ua/index.php/med_osvita,Helvetica,,,,,
,509811,100254,Nova škola,Nova škola,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"8,9",2,2232-8300,1840-0922,https://novaskola.pfb.ues.rs.ba/,"Faculty of Pedagogy, Bijeljina",,,,,
,509809,100290,Jižní Plzeňsko,Jižní Plzeňsko,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"4,1,5,4",1066,,3029-8172,https://www.muzeum-blovice.cz/o-nas/publikacni-cinnost/sborniky/,"Muzeum jižního Plzeňska v Blovicích, p. o.",,,,,
,509808,100302,Etiópicas. Revista de Letras Renacentistas,Etiópicas,0,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,"5,5",1359,1698-689X,,https://uhu.es/publicaciones/ojs/index.php/etiopicas,Editorial de la Universidad de Huelva,,,,,
,509807,100297,Journal of Multidisciplinary Novel Journeys & Explorations,Journal of Multidisciplinary Novel Journeys & Explorations,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"8,9,8",1434,3091-1990,,https://editorialjogb.com/index.php/JMNJE/index,EDITORIAL JOGB,,,,,
,509794,100407,Studia Pastoralne,Pastoral Studies,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,10,1313,2956-624X,1734-4433,https://journals.us.edu.pl/index.php/sp,University of Silesia in Katowice,,,,,
,509784,100416,Interconnected Learning and Teaching. International Journal for Foreign Languages,Interconnected Learning and Teaching. International Journal for Foreign Languages,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"3,5",2,3061-5283,,https://interconnected-learning-teaching.com/journal/aim-and-scope,Alexandru Ioan Cuza University of Iasi,,,,,
,509782,100486,Theoria,Theoria,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,10,1362,2406-081X,0351-2274,https://www.theoria.rs/en-home.html,Srpsko filozofsko drustvo,,,,,
,509781,100462,Cuadernos Unimetanos,Cuadernos Unimetanos,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,4,8,13,8,9,5,7",1359,3105-9171,,https://revistas.unimet.edu.ve/index.php/cuadernosunimetanos/index,UNIVERSIDAD METROPOLITANA DE CARACAS,,,,,
,509780,100407,wunderBlock. Psychoanaliza i Filozofia,wunderBlock. Psychoanaliza i Filozofia,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,10,1313,,2720-4391,https://wunderblock.pl/wydania/wunderblock-psychoanaliza-i-filozofia-nr-5-2025-psychoanaliza-wobec-szalenstwa-swiata/,"Institute of Philosophy and Sociology, Polish Academy of Sciences",,,,,
,509779,100248,Revista Interdisciplinaria de Teología,Interdisciplinary Journal of Theology,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"9,8,10",1359,2953-5336,,https://rit.sitb.edu.ar/index.php/rit,Seminario Internacional Teológico Bautista,,,,,
,509777,100311,Restitution Law Review,Restitution Law Review,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,6,2,,1351-170X,https://restitutionlawreview.co.uk/,Marenex Press,,,,,
,509776,100253,Musiqi Dünyası,Musiqi Dünyası,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"1,5,1,1",1031,2219-8482,2219-8474,https://www.musigi-dunya.az/,Musiqi Dünyası,,,,,
,509775,100341,MeTis,MeTis,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1181,2240-9580,,https://www.metisjournal.it/index.php/metis,Progedit - Progetti editoriali s.r.l.,,,,,
,509772,100416,Revista de Pedagogie Digitala,Revista de Pedagogie Digitala,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1327,3008-2013,,https://pedagogie-digitala.ro/,Institute for Education (Bucharest),,,,,
,509770,100407,Studia Prawnoadministracyjne,Studia Prawnoadministracyjne,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,6,1313,3071-9461,,https://spa.uniwersytetradom.pl/,Uniwersytet Radomski im. Kazimierza Pułaskiego,,,,,
,509769,100280,Revista Latinoamericana de Educación Inclusiva RLEI,Revista Latinoamericana de Educación Inclusiva RLEI,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1359,0718-7378,0718-5480,https://revistainclusiva.ucentral.cl/revistainclusiva/index,Universidad Central de Chile,,,,,
,509767,100253,Acta Globalis Humanitatis et Linguarum,Acta Globalis Humanitatis et Linguarum,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,4,8,5,5,3,10",2,3030-1718,,https://egarp.lt/index.php/aghel/index,Global Spectrum of Research and Humanities,,,,,
,509764,100266,Campo de Públicas: conexões e experiências,Campo de Públicas: conexões e experiências,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,6,11,14,9,8",1315,2764-6009,,https://revista.fjp.mg.gov.br/,Fundação João Pinheiro (FJP),,,,,
,509762,100302,Gaudeamus,Gaudeamus,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,"5,14,5,5",2,2697-2166,,https://www.gaudeamusjournal.org/index.php/gaudeamus/index,Journal of the Association of Young Researchers on Anglophone Studies,,,,,
,509759,100297,Revista Ciencia Innovadora,Revista Ciencia Innovadora,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"9,12,3,9,8,2",1359,3103-1226,,https://revistacienciainnovadora.com/index.php/home,Rommel Santiago Velastegui Hernández,,,,,
,509758,100295,Revista de Investigación y Evaluación Educativa (Revie),Revista de Investigación y Evaluación Educativa (Revie),0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,9,1359,2409-1553,2636-2260,https://revie.gob.do/index.php/revie,Dilcia D. Armesto Núñez,,,,,
,509756,100450,Amasya Üniversitesi Eğitim Fakültesi Dergisi,Amasya Education Journal,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1398,2146-7811,,https://dergipark.org.tr/tr/pub/amauefd,Amasya Üniversitesi,,,,,
,509755,100385,Frontera Norte,Frontera Norte,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"1,14,14,2",1359,2594-0260,,https://fronteranorte.colef.mx/index.php/fronteranorte/index,"El Colegio de la Frontera Norte, A. C.",,,,,
,509754,100486,"Bezbednost, Beograd","Bezbednost, Beograd",0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"6,9,11",1362,,0409-2953,https://scindeks.ceon.rs/journalDetails.aspx?issn=0409-2953,"Ministry of Internal Affairs of the Republic of Serbia, Belgrade",,,,,
,509753,100411,Sinais de Cena - Revista de Estudos de Teatro e Artes Performativas,Sinais de Cena - Performing Arts and Theatre Studies Journal,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,1,1315,2184-9552,1646-0715,https://revistas.rcaap.pt/sdc,Centre for Theatre Studies of the University of Lisbon,,,,,
,509751,100416,Applied Research in Administrative Sciences (ARAS),Applied Research in Administrative Sciences (ARAS),1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,9,2,2734-5602,,https://aras.ase.ro/,Bucharest University of Economic Studies,,,,,
,509750,100407,Exceptions. European Journal of Critical Jurisprudence,Exceptions. European Journal of Critical Jurisprudence,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,"6,9",2,3071-8538,,https://ejournals.eu/en/journal/exceptions,Jagiellonian University Press,,,,,
,509748,100407,Faces of War,Faces of War,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,"4,11,8,9",2,3071-8597,3071-7779,https://czasopisma.uni.lodz.pl/fow,Lodz University Press,,,,,
,509746,100313,TSU-ti — საერთაშორისო სამეცნიერო ჟურნალი ჰუმანიტარულ მეცნიერებებში,TSU-TI — THE INTERNATIONAL SCIENTIFIC JOURNAL OF HUMANITIES,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"14,4,1,5,4,8,8,5,5",2,2720-8419,2720-8400,https://tsuti.tsu.ge/index.php/journal/tsuti,TSU Press,,,,,
,509745,100280,Revista de Orientación Educacional,Revista de Orientación Educacional,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1359,0719-5117,0716-5714,http://revistas.upla.cl/index.php/roe/index,"Universidad de Playa Ancha, Facultad de Ciencias de la Educación",,,,,
,509744,100450,Dede Korkut Uluslararası Türk Dili ve Edebiyatı Araştırmaları Dergisi,Dede Korkut The Journal of International Turkish Language and Litetarute Research,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,5,3",1398,2147-5490,,https://dedekorkutdergisi.com.tr/,Nuh DOĞAN,,,,,
,509742,100450,"Toros University Journal of Food, Nutrition and Gastronomy","Toros University Journal of Food, Nutrition and Gastronomy",0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,9,2,2979-9511,,https://jfng.toros.edu.tr/index.php/jfng,Toros University,,,,,
,509741,100297,"Sage Sphere of Technology, Sciences, Discoveries And Society","Sage Sphere of Technology, Sciences, Discoveries And Society",0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,9,1359,3091-1915,,https://editorialjogb.com/index.php/SSTSDS/index,EDITORIAL JOGB,,,,,
,509739,100266,Revista de Interpretação Bíblica Latino-Americana,Revista de Interpretação Bíblica Latino-Americana,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"10,14,4,14,5,8,8",1315,1676-3394,,https://revista.fuv.edu.br/index.php/ribla/index,Editora Unida (Faculdade Unida de Vitória),,,,,
,509738,100450,Journal of public economy and public financial management,Journal of public economy and public financial management,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"14,2,2,8,6,10,14",2,2822-3187,,https://dergipark.org.tr/en/pub/jpepfm,Ankara: Akademik Çalımalar Derneği,,,,,
,509735,100455,Галич. Збірник наукових праць,Halych: Scientific Works Collection,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"4,1,5,4,8",1405,3041-1947,2786-9474,https://journals.pnu.edu.ua/index.php/hal_swc/index,"""Lileya-NV"" Publishing House",,,,,
,509734,100407,Śląskie Studia Historyczno-Teologiczne,Silesian Historical and Theological Studies,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"4,10",1313,2956-6185,0137-3447,https://journals.us.edu.pl/index.php/ssht/index,Instytut Gość Media / Księgarnia św. Jacka,,,,,
,509733,100302,Del Español. Revista de Lengua,Del Español. Revista de Lengua,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,5,1359,3045-543X,3020-2434,https://uhu.es/publicaciones/ojs/index.php/DLESPANOL,Editorial Universidad de Huelva,,,,,
,509730,100407,Res Politicae,Res Politicae,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"9,4,11",1313,2657-862X,2657-3342,https://czasopisma.ujd.edu.pl/index.php/RP/index,Jan Długosz University in Czestochowa,,,,,
,509729,100450,Roman Dili ve Kültürü Araştırmaları Enstitüsü Dergisi,Journal of Roma Language and Culture Research Institute,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,4,9,14",1398,3062-0325,2636-8005,https://dergipark.org.tr/en/pub/raedergisi,Trakya University,,,,,
,509728,100253,Azerbaijan Law Journal,Azerbaijan Law Journal,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,6,1031,3079-8973,1810-9055,https://www.ahj.az/en/,Faculty of Law of Baku State University,,,,,
,509727,100407,Security Forum,Security Forum,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"11,9",2,3072-1717,2544-1809,https://ojs.wsb.edu.pl/index.php/sf,WSB University,,,,,
,509726,100266,Conecte-se! Revista Interdisciplinar de Extensão,Conecte-se! Revista Interdisciplinar de Extensão,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"8,9",1315,2594-5467,,https://periodicos.pucminas.br/conecte-se/index,Pontifícia Universidade Católica de Minas Gerais,,,,,
,509723,100450,Paradigma Sosyal Bilimler Dergisi,Paradigma Journal of Social Sciences,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,9,1398,3108-5296,,https://www.paradigmajournal.com/,Yunus Ergün,,,,,
,509722,100455,Правові Горизонти,Legal Horizons,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,6,2,,2519-2353,https://legalhorizons.com.ua/lh/index,LIMITED LIABILITY COMPANY SCIENTIFIC ORGANIZATION HORIZONT LAW (LLC SCIENTIFIC ORGANIZATION HORIZONT LAW,,,,,
,509720,100450,Lisaniyat Studies,Lisaniyat Studies,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,5,1434,3023-4352,,https://lisaniyatstudies.com/lisaniyat,Hidayet SAMUK,,,,,
,509717,100455,Спортивні ігри,Sports Games,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,3,1405,2523-4161,,https://journals.uran.ua/sports_games/index,Kharkiv State Academy of Physical Culture,,,,,
,509716,100455,Єдиноборства,Martial arts,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,3,1405,2523-4196,,https://journals.uran.ua/martial_arts/index,Kharkiv State Academy of Physical Culture,,,,,
,509713,100450,"Siyaset, Ekonomi ve İşletme Bilimleri Dergisi","Journal of Politics, Economics and Business Sciences",0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"2,2,9,11",1398,3108-3994,,https://dergipark.org.tr/en/pub/pebjournal,Sinop University,,,,,
,509710,100341,"MMD – Museum, Materials and Discussions. Journal of Museum Studies","MMD – Museum, Materials and Discussions. Journal of Museum Studies",1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,"1,5,13,8,9,7",1434,3034-9699,,https://mmdjournal.unibo.it/,Alma Mater Studiorum Università di Bologna,,,,,
,509708,100266,Revista Iluminus,Revista Iluminus,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"10,14,14,1,5,1,4,8,8,9,6,5,5,1,12,10",1315,2966-1196,,https://periodicoseletronicos.ufma.br/index.php/iluminus,Edufma,,,,,
,509707,100450,Milli Eğitim Dergisi,Milli Egitim,1,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,3,1398,2791-7657,1302-5600,https://dergipark.org.tr/en/pub/milliegitim,Turkish Ministry of National Education,,,,,
,509705,100266,Políticas Educativas,Políticas Educativas,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1315,1982-3207,,https://seer.ufrgs.br/index.php/Poled/about,Universidade Federal do Rio Grande do Sul,,,,,
,509704,100450,İDEALKENT,IDEALKENT,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,13,1434,2602-2133,1307-9905,https://dergipark.org.tr/en/pub/idealkent,İdealKent Publications,,,,,
,509702,100406,Sustainable Trends and Business Research,Sustainable Trends and Business Research,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,2,2,3007-0414,3007-0406,https://journals.researchapt.com/index.php/stbr,ResearchApt (SMC-Private) Limited,,,,,
,509701,100450,ODTÜ Gelişme Dergisi,METU Studies in Development,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"2,9,11",2,2980-0870,,https://dergipark.org.tr/en/pub/metusd,Middle East Technical University,,,,,
,509700,100372,Балкански хип-хоп студии,Balkan Hip Hop Studies,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,1,5,5,1,14",1254,2955-2206,2955-2192,https://www.balkanhhs.com/,Urban Institute-Skopje,,,,,
,509699,100297,PerspectivaXXI,PerspectivaXXI,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"13,5,2,9,4,8,13,8,9,6,7,3,10,7,14,9,12",1359,3103-151X,,https://perspectivaxx1.com/index.php/file/index,Francisco Collado Campaña,,,,,
,509698,100450,Divan Disiplinlerarası Çalışmalar Dergisi,DÎVÂN: Journal of Interdisciplinary Studies,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"5,10,8,9",1398,,1309-6834,https://dergipark.org.tr/tr/pub/divan,Bilim ve Sanat Vakfı,,,,,
,509697,100450,Kahramanmaraş İstiklal Üniversitesi Psikoloji Dergisi,Kahramanmaraş Istiklal University (KIU) Journal of Psychology,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"12,9",1398,3023-6304,,https://dergipark.org.tr/en/pub/kiupsikoloji,Kahramanmaraş İstiklal University,,,,,
,509695,100297,Revista de Investigación Educativa Niveles,Revista de Investigación Educativa Niveles,0,2026-07-28 00:00:00.0,1,2026-07-28 00:00:00.0,3,1359,3073-1119,,https://niveles.esprint.tech,Esprint,,,,,
,509694,100302,Revista Derecho & Proceso,Revista Derecho & Proceso,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,6,1359,,2951-844X,https://revistas.colex.es/index.php/derechoyproceso/about,Colex,,,,,
,509693,100450,MediTerra – Mediterranean Social Studies Journal,MediTerra – Mediterranean Social Studies Journal,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"9,8,9,11,14,14,2,5",2,3023-8927,,https://www.mediterrajournal.com/,Antalya Academic Research Association (ANT-Academy),,,,,
,509692,100450,Bozok Journal of Social Sciences,Bozok Journal of Social Sciences,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"1,4,14,5,5,8,8,9,5,5,14",1398,2980-3322,,https://dergipark.org.tr/tr/pub/bozoksbd,Yozgat Bozok University,,,,,
,509688,100369,Didactica Pro Journal,Didactica Pro Journal,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,3,1327,,1810-6455,https://prodidactica.md/revista/index_en.htm,Educational Center PRO DIDACTICA,,,,,
,509625,100450,HİKEM,HİKEM,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,10,1398,3023-4247,,https://dergipark.org.tr/tr/pub/hikem,Karamanoğlu Mehmetbey Üniversitesi,,,,,
,509624,100369,"Studia Universitatis Moldaviae, Serie Științe Reale și ale Naturii",Natural Sciences USM,1,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,"9,9",1327,1857-498X,1814-3237,https://natural.studiamsu.md/,Moldova Stat University,,,,,
,509613,100450,ARIŞ,ARIŞ,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,1,1434,2687-4016,1301-255X,https://dergipark.org.tr/en/pub/aris,Atatürk Cultural Centre Presidency,,,,,
,509612,100450,Istranca Tarih Araştırmaları Dergisi,Istranca Journal of Historical Research,0,2026-07-28 00:00:00.0,0,2026-07-28 00:00:00.0,4,1398,3023-7785,,https://dergipark.org.tr/tr/pub/istad,Kırklareli University,,,,,
