collection,title,scielo_issn,publisher_name,current_status,subject_areas,mission
scl,RAE eletrônica,1676-5648,['Fundação Getulio Vargas/Escola de Administração de Empresas de São Paulo'],deceased,Applied Social Sciences,"{'es': 'La RAE-eletrônica tiene como misión fomentar la producción y la diseminación del conocimiento en Administración de Empresas.', 'pt': 'A RAE-eletrônica tem como missão fomentar a produção e a disseminação de conhecimento em Administração de Empresas.', 'en': ""RAE-eletrônica's mission is to encourage the production and dissemination of Business Administration knowledge.""}"
scl,Revista de Psiquiatria do Rio Grande do Sul,0101-8108,['Sociedade de Psiquiatria do Rio Grande do Sul'],deceased,Health Sciences,"{'es': 'Publicar trabajos originales de constribuicíon científica, en el campo de la Psiquiatría y áreas afines.', 'pt': 'Publicar trabalhos originais de contribuição científica, no campo da Psiquiatria e áreas correlatas.', 'en': 'Publishing original papers of scientific value in the field of Psychiatry and similar areas.'}"
scl,Revista Brasileira de Ciências Farmacêuticas,1516-9332,['Divisão de Biblioteca e Documentação do Conjunto das Químicas da Universidade de São Paulo'],deceased,Health Sciences,"{'es': 'Divulgar los más recientes avanzos en la area de las Ciencias Farmacéuticas publicando trabajos originales o de revisión.', 'pt': 'Divulgar os mais recentes avanços da área das Ciências Farmacêuticas, através da publicação de artigos originais, notas prévias, trabalhos de revisão e resenhas.'}"
scl,Revista Brasileira de Geofísica,0102-261X,['Sociedade Brasileira de Geofísica'],suspended,Exact and Earth Sciences,"{'es': 'Publicar artículos técnicos inéditos y originales en las áreas de Geofísica de Tierra Sólida, Ciencias Espaciales y Geofísica Aplicada.', 'pt': 'Publicar artigos técnicos inéditos e originais nas áreas da Geofísica da Terra Sólida, Ciências Espaciais e Geofísica Aplicada.', 'en': 'To publish technical and original articles in the areas of Solid Earth Geophysics, Spatial Science and Applied Geophysics.'}"
scl,Pró-Fono Revista de Atualização Científica,0104-5687,['Pró-Fono Produtos Especializados para Fonoaudiologia Ltda.'],deceased,Health Sciences,"{'es': 'rrrrMantener el más elevado patrón científico, publicandopreferentemente artículos de  investigaciones originales que contribuyan significativamente para el avance del conocimiento dentro del campo de  la  Fonoaudiología.', 'pt': 'Manter o mais elevado padrão científico, publicando preferencialmente artigos de pesquisas originais que contribuam significativamente para o avanço do conhecimento dentro do campo da Fonoaudiologia.', 'en': 'To keep the highest scientific standard, publishing preferential articles of original research that contributes significantly for the advance of the knowledge in the field of the Phonoaudiology.'}"
scl,Sba: Controle & Automação Sociedade Brasileira de Automatica,0103-1759,['Sociedade Brasileira de Automática'],suspended,Exact and Earth Sciences,"{'es': 'Promover en Brasil la ciencia y la tecnología del control automático en su sentido más amplio, en los sistemas físicos, biológicos, sociales y económicos.', 'pt': 'Promover no Brasil a ciência e a tecnologia de controle automático no seu mais amplo sentido, em todos os sistemas, sejam eles físicos, biológicos, sociais e econômicos.', 'en': 'To promote science and technology of automatic control in Brazil, in its wider sense, in all the systems: physic, biological, social and economic.'}"
scl,Revista Brasileira de Zoologia,0101-8175,['Sociedade Brasileira de Zoologia'],deceased,Biological Sciences,"{'es': 'Publica trabajos originales de constribuicíon científica, en el campo de la zoología.', 'pt': 'Destina-se a publicar artigos científicos originais em Zoologia.', 'en': 'To publish original scientific articles on Zoology.'}"
scl,Jornal da Sociedade Brasileira de Fonoaudiologia,2179-6491,['Sociedade Brasileira de Fonoaudiologia'],deceased,Health Sciences,"{'es': 'Divulgar la producción científica en Fonoaudiología, Disturbios de la Comunicación Humana y áreas afines, sobre temas relevantes de normalidad, evaluación y diagnóstico, e intervención.', 'pt': 'Divulgar a produção científica em Fonoaudiologia, Distúrbios da Comunicação Humana e áreas afins, sobre temas relevantes de normalidade, avaliação e diagnóstico, e intervenção.', 'en': 'To promote the scientific production in Speech-Language Pathology, Audiology, Human Communication Disorders and related areas, about relevant themes regarding normality, evaluation and diagnosis, and intervention.'}"
scl,Revista Odonto Ciência,1980-6523,['Pontifícia Universidade Católica do Rio Grande do Sul'],suspended,Health Sciences,"{'es': 'Es una revista científica internacional dedicada a brindar un espacio para académicos, investigadores y profesionales para comunicar información pertinente básica, clínica, o educativa y estudios epidemiológicos en Odontología y campos afines.', 'pt': 'Promover um fórum para acadêmicos, pesquisadores e clínicos para comunicar estudos básicos, clínicos, epidemiológicos e de educação, que sejam relevantes para a Odontologia e  áreas correlatas.', 'en': 'To provide a forum for academics, researchers, and practitioners to communicate relevant basic, clinical, education, and epidemiological studies in Dentistry and related fields.'}"
scl,Boletim do Instituto Paulista de Oceanografia,0100-4239,['Instituto Oceanográfico da Universidade de São Paulo'],deceased,"Biological Sciences, Exact and Earth Sciences","{'es': 'Boletim do Instituto Paulista de Oceanografia destinado a la publicación de trabajos originales sobre oceanografía y ciencias afines.', 'pt': 'Boletim do Instituto Paulista de Oceanografia destinado a publicar trabalhos originais que tratam de Oceanografia e ciências correlatas.', 'en': 'A journal for the publication of original contributions on Oceanography and related sciences.'}"
scl,Boletim do Instituto Oceanográfico,0373-5524,['Instituto Oceanográfico da Universidade de São Paulo'],deceased,"Biological Sciences, Exact and Earth Sciences","{'es': 'Boletin  de la intención de publicar trabajos originales relacionados con la oceanografía y ciencias afines.', 'pt': 'Boletim destinado a publicar trabalhos originais que tratem de Oceanografia e ciências correlatas.', 'en': 'A journal for the publication of original contributions on Oceanography and related sciences.'}"
scl,Journal of the Brazilian Society of Mechanical Sciences,0100-7386,['The Brazilian Society of Mechanical Sciences'],deceased,"Engineering, Exact and Earth Sciences","{'es': 'Is to publish articles of permanent interest dealing with research, development and design related to science and technology in Mechanical Engineering, encompassing interfaces with other branches of engineering, as well as with Physics and Applied Mathematics', 'pt': 'Is to publish articles of permanent interest dealing with research, development and design related to science and technology in Mechanical Engineering, encompassing interfaces with other branches of engineering, as well as with Physics and Applied Mathematics', 'en': 'Is to publish articles of permanent interest dealing with research, development and design related to science and technology in Mechanical Engineering, encompassing interfaces with other branches of engineering, as well as with Physics and Applied Mathematics'}"
scl,Revista Brasileira de Biologia,0034-7108,['Instituto Internacional de Ecologia'],deceased,Biological Sciences,"{'es': 'To publish original articles in all fields concerning Biological Sciences.', 'pt': 'Publicar artigos que contenham resultados de pesquisa original em qualquer ramo das ciências biológicas.', 'en': 'To publish original articles in all fields concerning Biological Sciences.'}"
scl,Revista da Faculdade de Educação,0102-2555,['Faculdade de Educação da Universidade de São Paulo'],deceased,Human Sciences,"{'es': 'Publicar artículos y relatos de investigación inéditos en el área de la educación, así como reseñas de libros, documentos especiales y traducciones.', 'pt': 'Publicar artigos e relatos de pesquisa inéditos na área de educação e afins, bem como resenhas de livros, documentos especiais e traduções.', 'en': 'To publish original articles and research reports in education and related areas, as well as book reviews, special documents, and translations.'}"
scl,Pesquisa Odontológica Brasileira,1517-7491,['Sociedade Brasileira de Pesquisa Odontológica e Faculdade de Odontologia da Universidade de São Paulo'],deceased,Health Sciences,"{'es': 'To publish basic and applied research works, as well as articles on current themes and updated information in oral research.', 'pt': 'Publicar trabalhos de pesquisa básica e aplicada, bem como artigos de divulgação e de atualização em pesquisa odontológica.', 'en': 'To publish basic and applied research works, as well as articles on current themes and updated information in oral research.'}"
scl,Revista Brasileira de Fisiologia Vegetal,0103-3131,['Sociedade Brasileira de Fisiologia Vegetal'],deceased,Biological Sciences,"{'es': 'Publicar trabajos científicos originales en las várias áreas de la Fisiología Vegetal.', 'pt': 'Publicar trabalhos científicos originais nas várias áreas da Fisiologia Vegetal.', 'en': 'To publish original cientific articles in the various areas of the Plant Phisiology.'}"
scl,Revista de Odontologia da Universidade de São Paulo,0103-0663,['Universidade de São Paulo'],deceased,Health Sciences,"{'es': 'Publicar los trabajos de pesquisa general y aplicada, así como los artículos de divulgación y actualización', 'pt': 'Publicar trabalhos de pesquisa básica e aplicada, bem como artigos de divulgação e de atualização', 'en': 'To publish basic and applied research works, as well as articles on current themes and updated information'}"
scl,Revista da Sociedade Brasileira de Fonoaudiologia,1516-8034,['Sociedade Brasileira de Fonoaudiologia'],deceased,Health Sciences,"{'es': 'Divulgar la producción científica sobre temas relevantes de Fonoaudiología, Disturbios de la Comunicación Humana y áreas afines.', 'pt': 'Divulgar a produção científica sobre temas relevantes de Fonoaudiologia, Distúrbios da Comunicação Humana e áreas afins.', 'en': 'To divulge the scientific production regarding relevant issues of Speech- Language Pathology and Audiology, Human Communication Disorders and related areas.'}"
scl,Revista de Microbiologia,0001-3714,['Sociedade Brasileira de Microbiologia'],deceased,"Agricultural Sciences, Biological Sciences","{'es': 'Publicar trabajos de investigación originales, notas breves y, ocasionalmente, revisiones, relacionados a todos los aspectos de la microbiología.', 'pt': 'Publicar trabalhos de pesquisa originais, notas breves e, ocasionalmente, revisões, envolvendo todos os aspectos da microbiologia.', 'en': 'To publish original research papers, research notes and, occasionally, reviews, covering all aspects of Microbiology.'}"
